Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","50","Chypre","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","10050","","Donnée officielle"
"TP","Cultures et produits animaux","44","Colombie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","29820","","Donnée officielle"
"TP","Cultures et produits animaux","44","Colombie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","67773","","Donnée officielle"
"TP","Cultures et produits animaux","45","Comores","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","9540","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","45","Comores","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","14681","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","46","Congo","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","62546","","Donnée officielle"
"TP","Cultures et produits animaux","46","Congo","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","105195","","Donnée officielle"
"TP","Cultures et produits animaux","48","Costa Rica","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","7372","","Donnée officielle"
"TP","Cultures et produits animaux","48","Costa Rica","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","10336","","Donnée officielle"
"TP","Cultures et produits animaux","107","Côte d'Ivoire","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","161","","Donnée officielle"
"TP","Cultures et produits animaux","107","Côte d'Ivoire","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","547","","Donnée officielle"
"TP","Cultures et produits animaux","98","Croatie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","12945","","Donnée officielle"
"TP","Cultures et produits animaux","98","Croatie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","14062","","Donnée officielle"
"TP","Cultures et produits animaux","49","Cuba","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","178891","","Donnée officielle"
"TP","Cultures et produits animaux","49","Cuba","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","279486","","Donnée officielle"
"TP","Cultures et produits animaux","54","Danemark","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","29128","","Donnée officielle"
"TP","Cultures et produits animaux","54","Danemark","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","37826","","Donnée officielle"
"TP","Cultures et produits animaux","72","Djibouti","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1878","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","72","Djibouti","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","3111","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","55","Dominique","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","3790","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","55","Dominique","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","3916","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","59","Égypte","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","78907","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","59","Égypte","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","43495","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","60","El Salvador","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","11398","","Donnée officielle"
"TP","Cultures et produits animaux","60","El Salvador","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","13078","","Donnée officielle"
"TP","Cultures et produits animaux","225","Émirats arabes unis","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","526492","","Donnée officielle"
"TP","Cultures et produits animaux","225","Émirats arabes unis","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","591186","","Donnée officielle"
"TP","Cultures et produits animaux","178","Érythrée","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","59","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","178","Érythrée","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","56","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","203","Espagne","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","89204","","Donnée officielle"
"TP","Cultures et produits animaux","203","Espagne","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","120981","","Donnée officielle"
"TP","Cultures et produits animaux","63","Estonie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","14802","","Donnée officielle"
"TP","Cultures et produits animaux","63","Estonie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","22010","","Donnée officielle"
"TP","Cultures et produits animaux","209","Eswatini","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1166","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","209","Eswatini","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","1556","","Donnée officielle"
"TP","Cultures et produits animaux","231","États-Unis d'Amérique","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","59970","","Donnée officielle"
